"SecID","PriceDate","OPEN","HIGH","LOW","CLOSE","VOLUME","ADJUSTED"
"0010.HK","2019-12-31",19.280001,19.299999,19.18,19.26,1095000,17.998571
"0010.HK","2020-01-02",19.360001,19.559999,19.360001,19.5,954336,18.222851
"0010.HK","2020-01-03",19.66,20.549999,19.66,20.4,1867115,19.063908
"0010.HK","2020-01-06",20.200001,20.5,20,20.15,464421,18.83028
"0010.HK","2020-01-07",20.35,20.35,19.98,20.1,675322,18.783556
"0010.HK","2020-01-08",20.200001,20.200001,19.799999,19.940001,1009311,18.634035
"0010.HK","2020-01-09",20.1,20.25,19.9,20.200001,675161,18.877007
"0010.HK","2020-01-10",20.200001,20.5,20.1,20.5,1582574,19.157358
"0010.HK","2020-01-13",20.450001,20.65,20.25,20.5,484566,19.157358
"0010.HK","2020-01-14",20.700001,20.700001,20.450001,20.700001,771162,19.344259
"0010.HK","2020-01-15",20.700001,20.75,20.450001,20.75,1839749,19.390984
"0010.HK","2020-01-16",20.75,20.9,20.65,20.75,598324,19.390984
"0010.HK","2020-01-17",20.9,21.15,20.799999,20.9,2224000,19.531158
"0010.HK","2020-01-20",21,21.1,20.75,20.799999,480000,19.437708
"0010.HK","2020-01-21",20.6,20.700001,20.049999,20.15,1965000,18.83028
"0010.HK","2020-01-22",20.200001,20.4,19.92,20.25,2247586,18.923731
"0010.HK","2020-01-23",20.1,20.35,19.959999,20.200001,4833486,18.877007
"0010.HK","2020-01-24",20.200001,20.549999,20.1,20.549999,560200,19.204081
"0010.HK","2020-01-29",20.299999,20.299999,19.66,19.719999,1613412,18.428444
"0010.HK","2020-01-30",19.6,19.74,19.200001,19.280001,1651330,18.017262
"0010.HK","2020-01-31",19.440001,19.440001,19.26,19.34,1103167,18.073332
"0010.HK","2020-02-03",19,19.26,18.860001,19.02,1334265,17.77429
"0010.HK","2020-02-04",19.34,19.34,19.059999,19.120001,1789250,17.867741
"0010.HK","2020-02-05",19.200001,19.299999,19.059999,19.280001,1045860,18.017262
"0010.HK","2020-02-06",19.32,19.76,19.32,19.76,3487420,18.465822
"0010.HK","2020-02-07",19.76,19.84,19.6,19.82,692500,18.521894
"0010.HK","2020-02-10",19.82,19.879999,19.540001,19.780001,409500,18.484516
"0010.HK","2020-02-11",19.68,20.1,19.68,19.959999,821702,18.652725
"0010.HK","2020-02-12",19.82,20.6,19.940001,20.549999,1332696,19.204081
"0010.HK","2020-02-13",20.5,20.799999,20.4,20.75,1002000,19.390984
"0010.HK","2020-02-14",20.35,21.1,20.15,20.950001,1167330,19.577887
"0010.HK","2020-02-17",20.700001,21.35,20.700001,21,750088,19.624611
"0010.HK","2020-02-18",21,21.200001,20.75,20.9,593000,19.531158
"0010.HK","2020-02-19",20.799999,21.200001,20.799999,21.200001,1036304,19.811512
"0010.HK","2020-02-20",21.049999,21.450001,20.9,21.15,3644000,19.764784
"0010.HK","2020-02-21",20.9,21.1,20.85,20.950001,1220326,19.577887
"0010.HK","2020-02-24",20.9,20.9,20.299999,20.35,1214611,19.017181
"0010.HK","2020-02-25",20.15,20.549999,19.74,20.299999,896590,18.970457
"0010.HK","2020-02-26",20.049999,20.25,20.049999,20.25,612648,18.923731
"0010.HK","2020-02-27",20.25,20.4,19.959999,20.35,657114,19.017181
"0010.HK","2020-02-28",20,20.15,19.58,19.639999,945624,18.353682
"0010.HK","2020-03-02",19.6,19.959999,19.6,19.879999,1797456,18.577963
"0010.HK","2020-03-03",20,20.15,19.799999,19.92,667000,18.615345
"0010.HK","2020-03-04",19.84,20.049999,19.639999,20,3551742,18.690105
"0010.HK","2020-03-05",19.940001,20.15,19.940001,20,1016568,18.690105
"0010.HK","2020-03-06",19.74,19.860001,19.5,19.6,1877590,18.316305
"0010.HK","2020-03-09",19.139999,19.16,18.58,18.58,2034024,17.363106
"0010.HK","2020-03-10",18.6,18.6,18.6,18.6,0,17.381798
"0010.HK","2020-03-11",18.879999,19.16,18.540001,18.6,1648697,17.381798
"0010.HK","2020-03-12",18.52,18.540001,17.98,17.98,1870075,16.802404
